doc_name,index,content
03_招聘的基本要求.txt,中国共产党 遵守 中华人民共和国 宪法 法律 忠诚 教育事业 学校 规章制度 职业道德 学风 高等教育 规律 国际化 学术视野 引领 学科领域 发展 思路 全职 到校 工作,"2024年春季海内外招聘的基本要求如下

要求1、拥护中国共产党的领导，坚持正确的政治方向；遵守中华人民共和国宪法和法律，忠诚教育事业，遵守学校的各项规章制度；

要求2、具有良好的职业道德，严谨的学风；

要求3、熟悉高等教育规律，了解国内外高等教育情况，具备国际化的学术视野和引领本学科领域发展的思路；

要求4、聘期内应全职到校工作。
"
05_招聘岗位及具体要求_教研岗教师 copy.txt,长聘教授 教授二级 教授三级 学术造诣 人才培养 学术研究 标志性重大成就 贡献 影响力 学术地位 带领学科赶超 引领国际先进水平 团队领导 组织协调能力 人文社会科学学科 理工医科 年龄 长聘副教授 教授三级 教授四级 学术造诣 创新性成就 贡献 影响力 学术地位 保持学科先进水平 独立学术带头人 预聘副教授 副教授一级 副教授二级 科学研究 技术创新能力 高水平成果 专业影响力 学术带头人 优秀学者 发展潜力 预聘助理教授 副教授二级 副教授三级 学术视野 创新思维 研究基础 专业成果 学术发展潜力,"
（一）长聘教授(教授二级/三级岗位)

●具有高深的学术造诣，在人才培养或学术研究方面取得国内外公认的标志性重大成就和贡献；在国内外具有重要影响力和学术地位，具有带领本学科赶超或引领国际先进水平的能力；具有突出的团队领导和组织协调能力。

●人文社会科学学科的年龄原则上不超过55周岁、理工医科的年龄原则上不超过50周岁。

（二）长聘副教授(教授三级/四级岗位)

●具有较高的学术造诣，在人才培养或学术研究方面取得国内外广泛认可的创新性成就和贡献；在国内外具有较强影响力和学术地位，具有保持本学科国内外先进水平的能力；成为本学科领域独立学术带头人。

●年龄原则上不超过45周岁。

（三）预聘副教授(副教授一级/二级岗位)

●具有较强的科学研究和技术创新能力，在人才培养或学术研究方面取得高水平成果；在国内外具有一定的专业影响力；具有成为本学科领域学术带头人或优秀学者的发展潜力。

●年龄原则上不超过40周岁。

（四）预聘助理教授(副教授二级/三级岗位)

●具有广阔的学术视野、活跃的创新思维和扎实的研究基础；取得较高水平的专业成果；学术发展潜力较大。

●人文社会科学学科的年龄原则上不超过38周岁、理工医科的年龄原则上不超过35周岁。"
04_招聘的学科领域.txt,信息资源管理 管理科学与工程 经济学 公共管理 计算机科学与技术 心理学 新闻传播学 历史学 城乡规划学 公共卫生与预防医学 法学,"2024年春季海内外招聘的学科领域
欢迎有志于从事信息资源管理及相关学科研究工作的优秀人才加盟，重点招聘方向，即2024年春季海内外招聘的领域包括（但不限于）信息资源管理、管理科学与工程、经济学、公共管理、计算机科学与技术、心理学、新闻传播学、历史学、城乡规划学、公共卫生与预防医学、法学等。
"
01_中山大学简介.txt,中山大学 孙中山 博学 审问 慎思 明辨 笃行 振兴中华 造福人类 人文情怀 科学精神 国际视野 开拓创新能力 社会英才 国际学术 思想重镇 培养人才 研究学术 服务社会 弘扬文明 追求真理 综合性 研究型 开放式 中国特色 世界一流大学,中山大学（www.sysu.edu.cn）由孙中山先生创办，有着一百多年办学传统。作为中国教育部直属高校，通过部省共建，中山大学已经成为国家“双一流”建设高校。学校秉承孙中山先生亲笔题写的“博学、审问、慎思、明辨、笃行”校训，培养胸怀振兴中华、造福人类的抱负，具有人文情怀、科学精神、国际视野和开拓创新能力的社会英才，建设有重要影响的国际学术和思想重镇。学校以培养人才、研究学术、服务社会、弘扬文明、追求真理为宗旨，致力于建设综合性、研究型、开放式，具有广泛国际影响的中国特色世界一流大学。
07_招聘岗位及具体要求_报名方式与联系方式.txt,中山大学 人才报名系统 教研岗教师 人力资源管理处 人才发展办公室 吴老师 020-84111781 rscrcyj@mail.sysu.edu.cn 博士后咨询 专职研究人员管理科 后期管理办公室 郑老师 020-84112970 postdoct@mail.sysu.edu.cn 信息管理学院 彭老师 张老师 020-39333266 penggch@mail.sysu.edu.cn zhangxw83@mail.sysu.edu.cn,"报名方式

    扫描下方二维码登录“中山大学人才报名系统”进行报名(请于北京时间8点至24点期间登录)。



    或复制网址登陆报名系统

    https://recruit.sysu.edu.cn/hrrecruit/product/mobile/index.html#/login?FM_SYS_ID=hrs

教研岗教师咨询

    中山大学人力资源管理处

    人才发展办公室

    联系人：吴老师

    联系电话：020-84111781

    联系邮箱：rscrcyj@mail.sysu.edu.cn

博士后咨询

    中山大学人力资源管理处

    专职研究人员管理科（博士后管理办公室）

    联系人：郑老师

    联系电话：020-84112970

    联系邮箱：postdoct@mail.sysu.edu.cn

信息管理学院咨询

    联系人：彭老师、张老师

    电话：020-39333266

    邮箱：penggch@mail.sysu.edu.cn
        zhangxw83@mail.sysu.edu.cn"
06_招聘岗位及具体要求_博士后.txt,中山大学 逸仙博士后项目 海内外优秀博士,"年龄在35周岁以下，获得博士学位不超过3年，熟悉高等教育规律，了解国内外高等教育情况，具备国际化的学术视野，具备较高的学术水平和较强的科研能力的海内外优秀博士。同时学校设置中山大学逸仙博士后项目，欢迎海内外优秀人才报名。

（复制链接查看博士后招聘启事 https://mp.weixin.qq.com/s/Zp9N64mKb1PrjJqgSce7ZQ）"
02_中山大学信息管理学院简介.txt,中山大学 信息管理学院 信息时代 前沿 党和国家 战略 湾区 信息资源管理 一级学科 本-硕-博 教育层次 科学学位 专业学位 博士后流动站 立德树人 社会主义建设者 档案学 CILIP 国际认证 国家级 一流本科专业建设 文旅部 文化与旅游研究基地 国家档案局 重点实验室 数据归档 档案安全 广州市 文化遗产 文化发展研究基地 中山大学 大数据研究院 国家文化遗产 文化发展研究院 中山大学-同略科技 档案与信创联合研究中心 国家社会科学基金重大项目 省部级 市级 研究基地 重点实验室 校级研究机构 科研项目 地方政府 企事业单位 横向委托项目,"中山大学信息管理学院创建于1980年，拥有优良办学传统和深厚文化底蕴，同时，信息管理学院走在信息时代前沿，坚定不移地以服务党和国家战略为使命，坚持立足湾区、面向湾区、服务湾区，建设信息资源管理高水平人才培养高地。经过四十余年的发展，学院已成为粤港澳大湾区唯一拥有完整的信息资源管理一级学科布局、具备本-硕-博连续教育层次、科学学位和专业学位全面人才培养体系、同时设立博士后流动站的教学单位。

学院坚持立德树人根本任务，着力培养德智体美劳全面发展的社会主义建设者和接班人，建立高质量自主人才培养体系。学院三个本科专业（信息管理与信息系统、图书馆学、档案学）和三个硕士专业（情报学、图书馆学、档案学）均通过CILIP国际认证。三个本科专业全部入选国家级一流本科专业建设。

学院面向国家重大战略和粤港澳大湾区建设，不断推进学科大平台建设，拥有文旅部文化和旅游研究基地（“中山大学国家文化遗产与文化发展研究院”）、国家档案局首批重点实验室（“数据归档与档案安全”实验室）、广州市文化遗产与文化发展研究基地等省部级或市级研究基地/重点实验室，并设有中山大学大数据研究院和中山大学国家文化遗产与文化发展研究院等校级研究机构，另建设有“中山大学-同略科技档案与信创联合研究中心”等校企合作平台。

学院以平台建设为支撑，持续推动耦合国家重大需求，推进大项目建设。学院教师先后主持“基于特定领域的网络资源和知识组织与导航机制研究”、“非物质文化遗产数字信息资源管理研究—以分类存储和语义检索为中心”、“近代广东海关档案文献整理和数据库建设研究”、“古籍保护学科建设与理论体系研究”、“粤港澳大湾区建设国际科创中心知识产权情报保障研究”、“科研成果社会影响的评价体系与提升策略研究”等国家社会科学基金重大项目以及各类国家级、省部级科研项目、地方政府和企事业单位横向委托项目。
"
03_通知具体内容.txt,中山大学 教务部 推荐免试攻读研究生学位 资格认定工作 实施办法 2020 223号 优秀本科毕业生 免试攻读研究生学位 专项推荐资格认定工作 教育部 图书馆学 档案学 邱韫淇 教务部 资格审核 校团委 专家 选拔工作 研究生院 学院 直属系 录取工作 异议 公示期 实名 反馈 信息管理学院,"根据《中山大学推荐免试攻读研究生学位资格认定工作实施办法》（中大教务〔2020〕223号）、《教务部关于做好2023届优秀本科毕业生免试攻读研究生学位专项推荐资格认定工作的通知（支教类）》（教务〔2022〕305号），经学生申请、学院推免工作小组审核，现公示2023届优秀本科毕业生免试攻读研究生学位专项推荐资格名单（支教类）如下：

专业名称,学号,姓名
信息管理与信息系统,19358005,陈梦蕾
信息管理与信息系统,19358012,淳靖
图书馆学,19358021,黄书悦
档案学,19358047,邱韫淇

请注意，教务部汇总相关材料后，将按照我校推免生的推荐条件和要求进行资格审核，后续交由校团委负责组织专家开展具体选拔工作，研究生院和各相关学院（直属系）负责录取工作。

如有异议，请在公示期内实名向学院推免工作领导小组反馈，否则不予受理。

公示时间：2022年9月15日-2022年9月28日

联系电话：020-39332656

电子邮箱：jwim@mail.sysu.edu.cn

信息管理学院

2022年9月15日

发布时间:2022-09-16"
01_通知发布人.txt,孙立宝,孙立宝
02_通知发布日期.txt,2022-09-16,2022-09-16
